Iteration, Max. Fehler
0, 10.9364
1, 7.47564
2, 5.33025
3, 4.42455
4, 3.95194
5, 3.5744
6, 3.32441
7, 3.12625
8, 2.94029
9, 2.78398
10, 2.63805
11, 2.50543
12, 2.39921
13, 2.30771
14, 2.22236
15, 2.14346
16, 2.071
17, 2.01079
18, 1.96424
19, 1.91985
20, 1.87815
21, 1.83997
22, 1.80326
23, 1.76906
24, 1.74053
25, 1.71403
26, 1.68932
27, 1.66621
28, 1.64453
29, 1.62415
30, 1.60544
31, 1.58843
32, 1.5723
33, 1.55695
34, 1.54234
35, 1.5284
36, 1.51508
37, 1.50234
38, 1.49014
39, 1.47843
40, 1.46719
41, 1.45711
42, 1.44745
43, 1.43812
44, 1.42909
45, 1.4207
46, 1.41281
47, 1.40518
48, 1.39777
49, 1.39102
50, 1.38454
51, 1.37822
52, 1.37205
53, 1.36602
54, 1.36013
55, 1.35436
56, 1.34872
57, 1.34357
58, 1.33883
59, 1.33434
60, 1.32991
61, 1.32555
62, 1.32124
63, 1.31699
64, 1.3128
65, 1.30866
66, 1.30467
67, 1.30103
68, 1.29743
69, 1.29387
70, 1.29033
71, 1.28682
72, 1.28335
73, 1.2799
74, 1.27649
75, 1.2731
76, 1.26983
77, 1.26679
78, 1.26376
79, 1.26075
80, 1.25776
81, 1.25478
82, 1.25182
83, 1.24888
84, 1.24599
85, 1.24313
86, 1.24027
87, 1.23743
88, 1.23461
89, 1.23195
90, 1.22932
91, 1.2267
92, 1.22409
93, 1.22149
94, 1.2189
95, 1.21633
96, 1.21377
97, 1.21122
98, 1.20868
99, 1.20616
100, 1.20365
101, 1.20115
102, 1.19872
103, 1.19639
104, 1.19407
105, 1.19176
106, 1.18946
107, 1.18717
108, 1.1849
109, 1.18263
110, 1.18038
111, 1.17814
112, 1.17591
113, 1.17369
114, 1.17148
115, 1.16929
116, 1.16711
117, 1.16493
118, 1.16277
119, 1.16062
120, 1.15854
121, 1.15653
122, 1.15452
123, 1.15253
124, 1.15054
125, 1.14857
126, 1.1466
127, 1.14465
128, 1.14271
129, 1.14077
130, 1.13885
131, 1.13693
132, 1.13503
133, 1.13314
134, 1.13134
135, 1.12957
136, 1.12781
137, 1.12605
138, 1.1243
139, 1.12256
140, 1.12083
141, 1.11911
142, 1.1174
143, 1.1157
144, 1.114
145, 1.11231
146, 1.11063
147, 1.10896
148, 1.1073
149, 1.10565
150, 1.104
151, 1.10237
152, 1.10082
153, 1.09928
154, 1.09775
155, 1.09622
156, 1.0947
157, 1.09318
158, 1.09168
159, 1.09018
160, 1.08868
161, 1.0872
162, 1.08572
163, 1.08424
164, 1.08277
165, 1.08131
166, 1.07986
167, 1.07841
168, 1.07697
169, 1.0756
170, 1.07424
171, 1.07288
172, 1.07153
173, 1.07018
174, 1.06884
175, 1.0675
176, 1.06617
177, 1.06484
178, 1.06352
179, 1.0622
180, 1.06089
181, 1.05958
182, 1.05828
183, 1.05699
184, 1.05569
185, 1.05445
186, 1.05322
187, 1.052
188, 1.05078
189, 1.04957
190, 1.04836
191, 1.04716
192, 1.04596
193, 1.04476
194, 1.04357
195, 1.04238
196, 1.04119
197, 1.04001
198, 1.03883
199, 1.03766
200, 1.03649
201, 1.03532
202, 1.03415
203, 1.033
204, 1.03184
205, 1.03069
206, 1.02954
207, 1.02843
208, 1.02733
209, 1.02624
210, 1.02515
211, 1.02407
212, 1.02298
213, 1.0219
214, 1.02083
215, 1.01975
216, 1.01868
217, 1.01761
218, 1.01655
219, 1.01548
220, 1.01442
221, 1.01337
222, 1.01231
223, 1.01126
224, 1.01021
225, 1.00916
226, 1.00812
227, 1.00708
228, 1.00604
229, 1.005
230, 1.00397
231, 1.00297
232, 1.00198
233, 1.001
234, 1.00001
235, 0.999027
236, 0.998046
237, 0.997067
238, 0.99609
239, 0.995115
240, 0.994142
241, 0.993171
242, 0.992202
243, 0.991235
244, 0.99027
245, 0.989307
246, 0.988347
247, 0.987388
248, 0.986431
249, 0.985476
250, 0.984524
251, 0.983573
252, 0.982624
253, 0.981677
254, 0.980732
255, 0.979789
256, 0.978848
257, 0.977914
258, 0.977007
259, 0.976103
260, 0.9752
261, 0.974299
262, 0.973399
263, 0.972501
264, 0.971604
265, 0.970709
266, 0.969816
267, 0.968924
268, 0.968034
269, 0.967145
270, 0.966258
271, 0.965373
272, 0.964489
273, 0.963606
274, 0.962725
275, 0.961846
276, 0.960968
277, 0.960092
278, 0.959217
279, 0.958352
280, 0.95749
281, 0.95663
282, 0.95577
283, 0.954912
284, 0.954056
285, 0.953201
286, 0.952347
287, 0.951495
288, 0.950644
289, 0.949801
290, 0.948978
291, 0.948157
292, 0.947337
293, 0.946517
294, 0.945699
295, 0.944882
296, 0.944067
297, 0.943252
298, 0.942439
299, 0.941627
300, 0.940815
301, 0.940006
302, 0.939197
303, 0.938389
304, 0.937583
305, 0.936778
306, 0.935974
307, 0.935171
308, 0.934369
309, 0.933569
310, 0.932769
311, 0.931971
312, 0.931174
313, 0.930378
314, 0.929583
315, 0.92879
316, 0.927997
317, 0.927206
318, 0.926416
319, 0.925627
320, 0.92484
321, 0.924053
322, 0.923268
323, 0.922483
324, 0.9217
325, 0.920935
326, 0.920174
327, 0.919413
328, 0.918653
329, 0.917894
330, 0.917136
331, 0.916379
332, 0.915623
333, 0.914868
334, 0.914114
335, 0.913362
336, 0.91261
337, 0.911859
338, 0.911109
339, 0.91036
340, 0.909612
341, 0.908865
342, 0.908119
343, 0.907374
344, 0.906631
345, 0.905888
346, 0.905146
347, 0.904405
348, 0.903665
349, 0.902926
350, 0.902188
351, 0.901451
352, 0.900715
353, 0.89998
354, 0.899247
355, 0.898514
356, 0.897782
357, 0.897051
358, 0.896321
359, 0.895592
360, 0.894864
361, 0.894137
362, 0.893411
363, 0.892687
364, 0.891963
365, 0.89124
366, 0.890518
367, 0.889797
368, 0.889091
369, 0.888392
370, 0.887694
371, 0.886997
372, 0.886301
373, 0.885605
374, 0.884911
375, 0.884217
376, 0.883524
377, 0.882832
378, 0.88214
379, 0.88145
380, 0.88076
381, 0.880072
382, 0.879384
383, 0.878696
384, 0.87801
385, 0.877325
386, 0.87664
387, 0.875956
388, 0.875273
389, 0.874591
390, 0.87391
391, 0.873229
392, 0.87255
393, 0.871871
394, 0.871193
395, 0.870516
396, 0.869839
397, 0.869164
398, 0.868489
399, 0.867816
400, 0.867143
401, 0.86647
402, 0.865799
403, 0.865129
404, 0.864459
405, 0.86379
406, 0.863122
407, 0.862455
408, 0.861789
409, 0.861123
410, 0.860459
411, 0.859795
412, 0.859132
413, 0.85847
414, 0.857809
415, 0.857148
416, 0.856488
417, 0.85583
418, 0.855172
419, 0.854522
420, 0.853876
421, 0.85323
422, 0.852585
423, 0.851941
424, 0.851298
425, 0.850655
426, 0.850014
427, 0.849372
428, 0.848732
