Iteration, Max. Fehler
0, 10.9364
1, 9.73466
2, 7.85658
3, 6.59297
4, 5.95519
5, 5.36552
6, 5.12866
7, 4.84029
8, 4.62324
9, 4.4144
10, 4.22791
11, 4.06324
12, 3.91218
13, 3.77485
14, 3.6543
15, 3.53566
16, 3.43886
17, 3.33431
18, 3.25514
19, 3.16207
20, 3.09568
21, 3.01245
22, 2.95522
23, 2.88068
24, 2.83002
25, 2.76326
26, 2.71732
27, 2.65759
28, 2.61509
29, 2.5629
30, 2.52177
31, 2.47639
32, 2.43614
33, 2.39665
34, 2.35724
35, 2.3229
36, 2.28888
37, 2.27169
38, 2.24263
39, 2.22588
40, 2.19769
41, 2.18133
42, 2.15412
43, 2.13814
44, 2.11196
45, 2.09635
46, 2.07121
47, 2.05597
48, 2.03186
49, 2.01699
50, 1.99389
51, 1.97939
52, 1.95727
53, 1.94315
54, 1.92197
55, 1.90822
56, 1.88795
57, 1.87457
58, 1.85515
59, 1.84214
60, 1.82354
61, 1.81089
62, 1.79306
63, 1.78077
64, 1.76368
65, 1.75174
66, 1.73535
67, 1.72374
68, 1.70801
69, 1.69752
70, 1.68769
71, 1.67795
72, 1.67132
73, 1.66278
74, 1.65549
75, 1.64814
76, 1.64019
77, 1.63401
78, 1.62537
79, 1.62034
80, 1.611
81, 1.6071
82, 1.59707
83, 1.59427
84, 1.58458
85, 1.58182
86, 1.57248
87, 1.56972
88, 1.5607
89, 1.55797
90, 1.54922
91, 1.54653
92, 1.53802
93, 1.5354
94, 1.52709
95, 1.52455
96, 1.51643
97, 1.51398
98, 1.50601
99, 1.50367
100, 1.49583
101, 1.49361
102, 1.48663
103, 1.48379
104, 1.47786
105, 1.4742
106, 1.46928
107, 1.46483
108, 1.46088
109, 1.45567
110, 1.45266
111, 1.44672
112, 1.44462
113, 1.43824
114, 1.43673
115, 1.43037
116, 1.429
117, 1.42282
118, 1.42143
119, 1.41551
120, 1.41399
121, 1.40835
122, 1.40671
123, 1.40132
124, 1.39955
125, 1.39442
126, 1.39253
127, 1.38764
128, 1.38564
129, 1.38102
130, 1.37888
131, 1.37501
132, 1.37223
133, 1.36909
134, 1.3657
135, 1.36326
136, 1.35935
137, 1.35752
138, 1.35381
139, 1.35187
140, 1.34835
141, 1.3463
142, 1.34296
143, 1.34081
144, 1.33766
145, 1.33541
146, 1.33243
147, 1.33008
148, 1.32727
149, 1.32483
150, 1.32218
151, 1.31966
152, 1.31717
153, 1.31456
154, 1.31222
155, 1.30953
156, 1.30734
157, 1.30457
158, 1.30253
159, 1.30008
160, 1.29778
161, 1.29582
162, 1.29335
163, 1.2916
164, 1.28907
165, 1.28743
166, 1.28483
167, 1.28331
168, 1.28065
169, 1.27923
170, 1.27651
171, 1.2752
172, 1.27243
173, 1.27122
174, 1.26839
175, 1.26727
176, 1.2644
177, 1.26338
178, 1.26045
179, 1.25952
180, 1.25655
181, 1.25571
182, 1.25293
183, 1.25194
184, 1.24953
185, 1.24822
186, 1.24615
187, 1.24453
188, 1.24281
189, 1.24089
190, 1.2395
191, 1.23749
192, 1.23635
193, 1.23491
194, 1.23364
195, 1.23234
196, 1.23095
197, 1.22978
198, 1.22827
199, 1.22724
200, 1.22562
201, 1.22472
202, 1.22298
203, 1.22221
204, 1.22035
205, 1.21972
206, 1.21774
207, 1.21724
208, 1.21516
209, 1.21478
210, 1.21286
211, 1.21233
212, 1.21061
213, 1.21001
214, 1.20836
215, 1.2077
216, 1.20614
217, 1.2054
218, 1.20392
219, 1.20312
220, 1.20172
221, 1.20085
222, 1.19953
223, 1.19859
224, 1.19735
225, 1.19635
226, 1.19519
227, 1.19412
228, 1.19303
229, 1.1919
230, 1.19089
231, 1.18969
232, 1.18876
233, 1.18749
234, 1.18664
235, 1.18531
236, 1.18454
237, 1.18313
238, 1.18244
239, 1.18097
240, 1.18036
241, 1.17882
242, 1.17828
243, 1.17668
244, 1.17622
245, 1.17455
246, 1.17417
247, 1.17244
248, 1.17213
249, 1.17045
250, 1.17009
251, 1.16849
252, 1.16807
253, 1.16653
254, 1.16606
255, 1.16459
256, 1.16406
257, 1.16265
258, 1.16207
259, 1.16073
260, 1.16008
261, 1.15882
262, 1.15811
263, 1.15691
264, 1.15616
265, 1.15501
266, 1.15425
267, 1.15313
268, 1.15236
269, 1.15125
270, 1.15047
271, 1.14938
272, 1.14859
273, 1.14752
274, 1.14672
275, 1.14567
276, 1.14486
277, 1.14382
278, 1.14301
279, 1.14199
280, 1.14116
281, 1.14016
282, 1.13933
283, 1.13835
284, 1.1375
285, 1.13654
286, 1.13568
287, 1.13474
288, 1.13387
289, 1.13294
290, 1.13207
291, 1.13116
292, 1.13027
293, 1.1294
294, 1.12849
295, 1.12766
296, 1.12671
297, 1.12592
298, 1.12494
299, 1.1242
300, 1.12317
301, 1.12248
302, 1.12142
303, 1.12077
304, 1.11967
305, 1.11906
306, 1.11793
307, 1.11737
308, 1.11619
309, 1.11568
310, 1.11447
311, 1.114
312, 1.11275
313, 1.11233
314, 1.11104
315, 1.11066
316, 1.10937
317, 1.109
318, 1.10773
319, 1.10735
320, 1.10611
321, 1.1057
322, 1.10449
323, 1.10406
324, 1.10288
325, 1.10243
326, 1.10128
327, 1.1008
328, 1.09968
329, 1.09919
330, 1.09808
331, 1.09757
332, 1.0965
333, 1.09597
334, 1.09492
335, 1.09437
336, 1.09334
337, 1.09278
338, 1.09178
339, 1.09119
340, 1.09022
341, 1.08961
342, 1.08866
343, 1.08804
344, 1.08711
345, 1.08647
346, 1.08557
347, 1.08491
348, 1.08403
349, 1.08335
350, 1.0825
351, 1.0818
352, 1.08097
353, 1.08026
354, 1.07945
355, 1.07872
356, 1.07794
357, 1.07719
358, 1.07643
359, 1.07566
360, 1.07493
361, 1.07414
362, 1.07343
363, 1.07263
364, 1.07194
365, 1.07112
366, 1.07047
367, 1.06962
368, 1.06901
369, 1.06812
370, 1.06755
371, 1.06663
372, 1.0661
373, 1.06521
374, 1.06465
375, 1.06379
376, 1.06321
377, 1.06238
378, 1.06178
379, 1.06097
380, 1.06035
381, 1.05957
382, 1.05893
383, 1.05817
384, 1.05751
385, 1.05678
386, 1.05609
387, 1.05539
388, 1.05468
389, 1.05401
390, 1.05328
391, 1.05263
392, 1.05188
393, 1.05126
394, 1.05049
395, 1.04989
396, 1.0491
397, 1.04852
398, 1.04772
399, 1.04716
400, 1.04634
401, 1.04581
402, 1.04533
403, 1.04451
404, 1.04438
405, 1.04349
406, 1.04343
407, 1.04251
408, 1.04248
409, 1.04157
410, 1.04153
411, 1.04069
412, 1.04058
413, 1.03981
414, 1.03964
415, 1.03894
416, 1.0387
417, 1.03807
418, 1.03775
419, 1.0372
420, 1.03681
421, 1.03633
422, 1.03588
423, 1.03546
424, 1.03494
425, 1.03459
426, 1.03401
427, 1.03372
428, 1.03307
429, 1.03286
430, 1.03214
431, 1.03199
432, 1.03122
433, 1.03112
434, 1.03034
435, 1.03026
436, 1.02947
437, 1.02939
438, 1.02864
439, 1.02853
